"word","spelling","IPA_correct","Notes_1","Notes_2","Notes_3","Notes_4"
"prescindível","['pɾɨʃ.sĩ.ˈdi.vɛɫ']",,,,,"No error"
"bosta","['ˈbɔʃ.tɐ']",,,,,"No error"
"icterícia","['ik.tɨ.ˈɾi.sjɐ']",,,,,"No error"
"desodorante",,"['dɨ.zɔ.du.ˈɾɐ̃.tɨ']",,"syllable division",,
"organizar","['ɔɾ.ɡɐ.ni.ˈzaɾ']",,,,,"No error"
"parentesco","['pɐ.ɾẽ.ˈteʃ.ku']",,,,,"No error"
"governo","['ɡu.ˈveɾ.nu']",,,,,"No error"
"garboso","['ɡɐɾ.ˈbo.zu']",,,,,"No error"
"punhalada","['pu.ɲɐ.ˈla.dɐ']",,,,,"No error"
"martelada","['mɐɾ.tɨ.ˈla.dɐ']",,,,,"No error"
"inferno","['ĩ.ˈfɛɾ.nu']",,,,,"No error"
"gostar","['ɡuʃ.ˈtaɾ']",,,,,"No error"
"teorema","['tju.ˈɾe.mɐ']",,,,,"No error"
"autocrata","['aw.tɔ.ˈkɾa.tɐ']",,,,,"No error"
"idiotice","['i.dju.ˈti.sɨ']",,,,,"No error"
"vulcão","['vuɫ.ˈkɐ̃w̃']",,,,,"No error"
"diplomacia","['di.plu.mɐ.ˈsi.ɐ']",,,,,"No error"
"querubim","['kɨ.ɾu.ˈbĩ']",,,,,"No error"
"anjo","['ˈɐ̃.ʒu']",,,,,"No error"
"evacuar","['i.vɐ.ˈkwaɾ']",,,,,"No error"
"psicopatológico","['psi.kɔ.pɐ.tu.ˈlɔ.ʒi.ku']",,,,,"No error"
"bastante","['bɐʃ.ˈtɐ̃.tɨ']",,,,,"No error"
"deveras","['dɨ.ˈvɛ.ɾɐʃ']",,,,,"No error"
"abençoar","['ɐ.bẽ.ˈswaɾ']",,,,,"No error"
"habituar","['ɐ.bi.ˈtwaɾ']",,,,,"No error"
"avisar","['ɐ.vi.ˈzaɾ']",,,,,"No error"
"dilatar","['di.lɐ.ˈtaɾ']",,,,,"No error"
"cavalgar","['kɐ.vaɫ.ˈɡaɾ']",,,,,"No error"
"população","['pu.pu.lɐ.ˈsɐ̃w̃']",,,,,"No error"
"suspiro","['suʃ.ˈpi.ɾu']",,,,,"No error"
"diluição","['di.lwi.ˈsɐ̃w̃']",,,,,"No error"
"eficiência","['i.fi.ˈsjẽ.sjɐ']",,,,,"No error"
"eficácia","['i.fi.ˈka.sjɐ']",,,,,"No error"
"geração","['ʒɨ.ɾɐ.ˈsɐ̃w̃']",,,,,"No error"
"abstrato","['ɐb.ˈʃtɾa.tu']",,,,,"No error"
"bico","['ˈbi.ku']",,,,,"No error"
"estereótipo","['iʃ.tɛ.ˈɾjɔ.ti.pu']",,,,,"No error"
"fórmula","['ˈfɔɾ.mu.lɐ']",,,,,"No error"
"já","['ˈʒa']",,,,,"No error"
"dicotomia","['di.ku.tu.ˈmi.ɐ']",,,,,"No error"
"traduzir","['tɾɐ.du.ˈziɾ']",,,,,"No error"
"mina","['ˈmi.nɐ']",,,,,"No error"
"lida","['ˈli.dɐ']",,,,,"No error"
"libra","['ˈli.bɾɐ']",,,,,"No error"
"vulva","['vuɫ.vɐ']",,,,,"No error"
"genital","['ʒɨ.ni.ˈtaɫ']",,,,,"No error"
"fila","['ˈfi.lɐ']",,,,,"No error"
"eufonia","['ew.fu.ˈni.ɐ']",,,,,"No error"
"infame","['ĩ.ˈfɐ.mɨ']",,,,,"No error"
"ereção","['i.Rɛ.ˈsɐ̃w̃']",,,,,"No error"
"lânguido","['ˈlɐ̃.ɡi.du']",,,,,"No error"
"incapacidade","['ĩ.kɐ.pɐ.si.ˈda.dɨ']",,,,,"No error"
"sexagésimo","['sɛ.ksɐ.ˈʒɛ.zi.mu']",,,,,"No error"
"octogésimo","['ɔk.tɔ.ˈʒɛ.zi.mu']",,,,,"No error"
"septuagésimo","['sɛp.twɐ.ˈʒɛ.zi.mu']",,,,,"No error"
"nonagésimo","['no.nɐ.ˈʒɛ.zi.mu']",,,,,"No error"
"porém","['pu.ˈɾɐ̃j̃']",,,,,"No error"
"nem","['ˈnɐ̃j̃']",,,,,"No error"
"aterrar","['ɐ.tɨ.ˈRaɾ']",,,,,"No error"
"angina","['ɐ̃.ˈʒi.nɐ']",,,,,"No error"
"boletim","['bu.lɨ.ˈtĩ']",,,,,"No error"
"culpa","['ˈkuɫ.pɐ']",,,,,"No error"
"nectarina","['nɛk.tɐ.ˈɾi.nɐ']",,,,,"No error"
"enseada",,"['ẽ.ˈsi.a.dɐ']","false diphthong",,,"Error"
"real",,"['ˈRi.aɫ']","false diphthong",,,"Error"
"benjamim","['bẽ.ʒɐ.ˈmĩ']",,,,,"No error"
"alicerce","['ɐ.li.ˈsɛɾ.sɨ']",,,,,"No error"
"inexorável","['inəzuˈravɛɫ']",,,,,"No error"
"correio","['ku.ˈRɐj.u']",,,,,"No error"
"iodo","['ˈjo.du']",,,,,"No error"
"dignitário","['di.ɡni.ˈta.ɾju']",,,,,"No error"
"ampere","['ɐ̃.ˈpɛ.ɾɨ']",,,,,"No error"
"visível","['vi.ˈzi.vɛɫ']",,,,,"No error"
"paroxítono","['pɐ.ɾɔ.ˈksi.tu.nu']",,,,,"No error"
"convergir","['kõ.vɨɾ.ˈʒiɾ']",,,,,"No error"
"orbe","['ˈɔɾ.bɨ']",,,,,"No error"
"dejeto","['dɨ.ˈʒɛ.tu']",,,,,"No error"
"dejetar","['dɨ.ʒɛ.ˈtaɾ']",,,,,"No error"
"dejeção","['dɨ.ʒɛ.ˈsɐ̃w̃']",,,,,"No error"
"esperma","['iʃ.ˈpɛɾ.mɐ']",,,,,"No error"
"gentílico","['ʒẽ.ˈti.li.ku']",,,,,"No error"
"suporte","['su.ˈpɔɾ.tɨ']",,,,,"No error"
"mitologia","['mi.tu.lu.ˈʒi.ɐ']",,,,,"No error"
"flora","['ˈflɔ.ɾɐ']",,,,,"No error"
"epílogo","['e.ˈpi.lu.ɡu']",,,,,"No error"
"arqueiro","['ɐɾ.ˈkɐj.ɾu']",,,,,"No error"
"forragem","['fu.ˈRa.ʒɐ̃j̃']",,,,,"No error"
"aparelho","['ɐ.pɐ.ˈɾɐj.ʎu']",,,,,"No error"
"distrito","['dɨʃ.ˈtɾi.tu']",,,,,"No error"
"manipulação","['mɐ.ni.pu.lɐ.ˈsɐ̃w̃']",,,,,"No error"
"cio","['ˈsi.u']",,,,,"No error"
"estribo","['iʃ.ˈtɾi.bu']",,,,,"No error"
"esqueleto","['iʃ.kɨ.ˈle.tu']",,,,,"No error"
"atípico","['ɐ.ˈti.pi.ku']",,,,,"No error"
"antropocentrismo","['ɐ̃.tɾɔ.pɔ.sẽ.ˈtɾiʒ.mu']",,,,,"No error"
"homossexualidade","['ɔ.mɔ.sɛ.kswa.li.ˈda.dɨ']",,,,,"No error"
"autoridade","['aw.tu.ɾi.ˈda.dɨ']",,,,,"No error"
"desterro","['dɨʃ.ˈte.Ru']",,,,,"No error"
"comuna","['ku.ˈmu.nɐ']",,,,,"No error"
"eclesiástico",,"['e.klɨ.ˈzi.aʃ.ti.ku']","false diphthong",,,"Error"
"enfermagem","['ẽ.fɨɾ.ˈma.ʒɐ̃j̃']",,,,,"No error"
"corporativismo","['kuɾ.pu.ɾɐ.ti.ˈviʒ.mu']",,,,,"No error"
"árgon","['ˈaɾ.ɡɔn']",,,,,"No error"
"berílio","['bɨ.ˈɾi.lju']",,,,,"No error"
"boro","['ˈbɔ.ɾu']",,,,,"No error"
"símbolo","['ˈsĩ.bu.lu']",,,,,"No error"
"crosta","['ˈkɾoʃ.tɐ']",,,,,"No error"
"cutelo","['ku.ˈtɛ.lu']",,,,,"No error"
"afeição","['ɐ.fɐj.ˈsɐ̃w̃']",,,,,"No error"
"pó",,"['i.nə.zu.ˈra.vɛɫ']",,"syllable division",,
"ábaco","['ˈa.bɐ.ku']",,,,,"No error"
"magnésio","['ma.ˈɡnɛ.zju']",,,,,"No error"
"alumínio","['ɐ.lu.ˈmi.nju']",,,,,"No error"
"cipriota","['si.ˈpɾjɔ.tɐ']",,,,,"No error"
"logo","['ˈlɔ.ɡu']",,,,,"No error"
"naturalismo","['nɐ.tu.ɾɐ.ˈliʒ.mu']",,,,,"No error"
"alfabeto","['aɫ.fɐ.ˈbɛ.tu']",,,,,"No error"
"som","['ˈsõ']",,,,,"No error"
"galáxia","['ɡɐ.ˈla.ksjɐ']",,,,,"No error"
"planeta","['plɐ.ˈne.tɐ']",,,,,"No error"
"calvário","['kaɫ.ˈva.ɾju']",,,,,"No error"
"observatório","['ɔb.sɨɾ.vɐ.ˈtɔ.ɾju']",,,,,"No error"
"bissexual","['bi.sɛ.ˈkswaɫ']",,,,,"No error"
"mover","['mu.ˈveɾ']",,,,,"No error"
"público","['ˈpu.bli.ku']",,,,,"No error"
"império","['ĩ.ˈpɛ.ɾju']",,,,,"No error"
"importante","['ĩ.puɾ.ˈtɐ̃.tɨ']",,,,,"No error"
"escândio","['iʃ.ˈkɐ̃.dju']",,,,,"No error"
"vanádio","['vɐ.ˈna.dju']",,,,,"No error"
"suma","['ˈsu.mɐ']",,,,,"No error"
"divindade","['di.vĩ.ˈda.dɨ']",,,,,"No error"
"fase","['ˈfa.zɨ']",,,,,"No error"
"pau","['ˈpaw']",,,,,"No error"
"rola","['ˈɾo.lɐ']",,,,,"No error"
"caminhar","['kɐ.mi.ˈɲaɾ']",,,,,"No error"
"negação","['nɨ.ɡɐ.ˈsɐ̃w̃']",,,,,"No error"
"analogia","['ɐ.nɐ.lu.ˈʒi.ɐ']",,,,,"No error"
"pinto","['ˈpĩ.tu']",,,,,"No error"
"pintar","['pĩ.ˈtaɾ']",,,,,"No error"
"cloaca","['klu.ˈa.kɐ']",,,,,"No error"
"padaria","['pa.dɐ.ˈɾi.ɐ']",,,,,"No error"
"banzar","['bɐ̃.ˈzaɾ']",,,,,"No error"
"bovino","['bu.ˈvi.nu']",,,,,"No error"
"ovino","['ɔ.ˈvi.nu']",,,,,"No error"
"germânio","['ʒɨɾ.ˈmɐ.nju']",,,,,"No error"
"ascetismo","['ɐʃ.sɨ.ˈtiʒ.mu']",,,,,"No error"
"tosco","['ˈtoʃ.ku']",,,,,"No error"
"bromo","['ˈbɾɔ.mu']",,,,,"No error"
"sólido","['ˈsɔ.li.du']",,,,,"No error"
"afundar","['ɐ.fũ.ˈdaɾ']",,,,,"No error"
"crípton","['ˈkɾip.tɔn']",,,,,"No error"
"rubídio","['Ru.ˈbi.dju']",,,,,"No error"
"amiúde","['ɐ.ˈmju.dɨ']",,,,,"No error"
"estrôncio","['iʃ.ˈtɾõ.sju']",,,,,"No error"
"ítrio","['ˈi.tɾju']",,,,,"No error"
"ali","['ɐ.ˈli']",,,,,"No error"
"bolas","['ˈbɔ.lɐʃ']",,,,,"No error"
"molibdénio","['mɔ.lib.ˈdɛ.nju']",,,,,"No error"
"ruténio","['Ru.ˈtɛ.nju']",,,,,"No error"
"comunicação","['ku.mu.ni.kɐ.ˈsɐ̃w̃']",,,,,"No error"
"sujeição","['su.ʒɐj.ˈsɐ̃w̃']",,,,,"No error"
"alheio","['ɐ.ˈʎɐj.u']",,,,,"No error"
"marinho","['mɐ.ˈɾi.ɲu']",,,,,"No error"
"paládio","['pɐ.ˈla.dju']",,,,,"No error"
"desrespeitar","['dɨʒ.Rɨʃ.pɐj.ˈtaɾ']",,,,,"No error"
"dar","['ˈdaɾ']",,,,,"No error"
"pecado","['pɨ.ˈka.du']",,,,,"No error"
"pecar","['pɨ.ˈkaɾ']",,,,,"No error"
"andar","['ɐ̃.ˈdaɾ']",,,,,"No error"
"picar","['pi.ˈkaɾ']",,,,,"No error"
"atacar","['ɐ.tɐ.ˈkaɾ']",,,,,"No error"
"agredir","['ɐ.ɡɾɨ.ˈdiɾ']",,,,,"No error"
"vacinar","['vɐ.si.ˈnaɾ']",,,,,"No error"
"tagarelar","['tɐ.ɡɐ.ɾɨ.ˈlaɾ']",,,,,"No error"
"varrer","['vɐ.ˈReɾ']",,,,,"No error"
"zangão",,"['zɐ̃ŋ.gˈɐ̃w']",,"syllable division",,
"ácaro","['ˈa.kɐ.ɾu']",,,,,"No error"
"baralhar","['bɐ.ɾɐ.ˈʎaɾ']",,,,,"No error"
"procurar","['pɾɔ.ku.ˈɾaɾ']",,,,,"No error"
"vasculhar","['vɐʃ.ku.ˈʎaɾ']",,,,,"No error"
"abastecer","['ɐ.bɐʃ.tɨ.ˈseɾ']",,,,,"No error"
"lavar","['lɐ.ˈvaɾ']",,,,,"No error"
"embainhar","['ẽ.bɐ.i.ˈɲaɾ']",,,,,"No error"
"civismo","['si.ˈviʒ.mu']",,,,,"No error"
"cádmio","['ˈkad.mju']",,,,,"No error"
"viticultura","['vi.ti.kuɫ.ˈtu.ɾɐ']",,,,,"No error"
"envenenar","['ẽ.vɨ.nɨ.ˈnaɾ']",,,,,"No error"
"benzer","['bẽ.ˈzeɾ']",,,,,"No error"
"verificar","['vɨ.ɾi.fi.ˈkaɾ']",,,,,"No error"
"viver","['vi.ˈveɾ']",,,,,"No error"
"vestir","['vɨʃ.ˈtiɾ']",,,,,"No error"
"aborrecer","['ɐ.bu.Rɨ.ˈseɾ']",,,,,"No error"
"brotar","['bɾu.ˈtaɾ']",,,,,"No error"
"votar","['vu.ˈtaɾ']",,,,,"No error"
"apadrinhar","['ɐ.pɐ.dɾi.ˈɲaɾ']",,,,,"No error"
"abrandar","['ɐ.bɾɐ̃.ˈdaɾ']",,,,,"No error"
"brigar","['bɾi.ˈɡaɾ']",,,,,"No error"
"lutar","['lu.ˈtaɾ']",,,,,"No error"
"brincar","['bɾĩ.ˈkaɾ']",,,,,"No error"
"borrifar","['bu.Ri.ˈfaɾ']",,,,,"No error"
"proposta","['pɾu.ˈpɔʃ.tɐ']",,,,,"No error"
"antimónio","['ɐ̃.ti.ˈmɔ.nju']",,,,,"No error"
"telúrio","['tɨ.ˈlu.ɾju']",,,,,"No error"
"níquel","['ˈni.kɛɫ']",,,,,"No error"
"adivinhar","['ɐ.di.vi.ˈɲaɾ']",,,,,"No error"
"misturar","['miʃ.tu.ˈɾaɾ']",,,,,"No error"
"abanar","['ɐ.bɐ.ˈnaɾ']",,,,,"No error"
"rebentar","['Rɨ.bẽ.ˈtaɾ']",,,,,"No error"
"bordar","['buɾ.ˈdaɾ']",,,,,"No error"
"emergir","['e.mɨɾ.ˈʒiɾ']",,,,,"No error"
"dogma","['ˈdɔɡ.mɐ']",,,,,"No error"
"anedota","['ɐ.nɨ.ˈdɔ.tɐ']",,,,,"No error"
"antagonista","['ɐ̃.tɐ.ɡu.ˈniʃ.tɐ']",,,,,"No error"
"profissão","['pɾu.fi.ˈsɐ̃w̃']",,,,,"No error"
"espartano","['iʃ.pɐɾ.ˈtɐ.nu']",,,,,"No error"
"necromante","['nɨ.kɾu.ˈmɐ̃.tɨ']",,,,,"No error"
"necromancia","['nɨ.kɾu.mɐ̃.ˈsi.ɐ']",,,,,"No error"
"macho","['ˈma.ʃu']",,,,,"No error"
"microprocessador","['mi.kɾɔ.pɾu.sɨ.sɐ.ˈdoɾ']",,,,,"No error"
"transístor","['tɾɐ̃.ˈziʃ.tɔɾ']",,,,,"No error"
"burgo","['ˈbuɾ.ɡu']",,,,,"No error"
"agravante","['ɐ.ɡɾɐ.ˈvɐ̃.tɨ']",,,,,"No error"
"agradável","['ɐ.ɡɾɐ.ˈda.vɛɫ']",,,,,"No error"
"breve","['ˈbɾɛ.vɨ']",,,,,"No error"
"telemóvel","['tɛ.lɛ.ˈmɔ.vɛɫ']",,,,,"No error"
"inspiração","['ĩʃ.pi.ɾɐ.ˈsɐ̃w̃']",,,,,"No error"
"representar","['Rɨ.pɾɨ.zẽ.ˈtaɾ']",,,,,"No error"
"bebida","['bɨ.ˈbi.dɐ']",,,,,"No error"
"chá","['ˈʃa']",,,,,"No error"
"musical","['mu.zi.ˈkaɫ']",,,,,"No error"
"uísque","['ˈwĩʃ.kɨ']",,,,,"No error"
"advérbio","['ɐ.dˈvɛɾ.bju']",,,,,"No error"
"arredar","['ɐ.Rɨ.ˈdaɾ']",,,,,"No error"
"atacado","['ɐ.tɐ.ˈka.du']",,,,,"No error"
"metal","['mɨ.ˈtaɫ']",,,,,"No error"
"orquestra","['ɔɾ.ˈkɛʃ.tɾɐ']",,,,,"No error"
"esperanto","['iʃ.pɨ.ˈɾɐ̃.tu']",,,,,"No error"
"praseodímio","['pɾɐ.zju.ˈdi.mju']",,,,,"No error"
"tonto","['ˈtõ.tu']",,,,,"No error"
"gracioso","['ɡɾɐ.ˈsjo.zu']",,,,,"No error"
"feio","['ˈfɐj.u']",,,,,"No error"
"assinalar","['ɐ.si.nɐ.ˈlaɾ']",,,,,"No error"
"neodímio","['nɛ.ɔ.ˈdi.mju']",,,,,"No error"
"promécio","['pɾu.ˈmɛ.sju']",,,,,"No error"
"samário","['sɐ.ˈma.ɾju']",,,,,"No error"
"orfandade","['ɔɾ.fɐ̃.ˈda.dɨ']",,,,,"No error"
"gadolínio","['ɡɐ.du.ˈli.nju']",,,,,"No error"
"crueza","['kɾu.ˈe.zɐ']",,,,,"No error"
"competição","['kõ.pɨ.ti.ˈsɐ̃w̃']",,,,,"No error"
"conotação","['ku.nu.tɐ.ˈsɐ̃w̃']",,,,,"No error"
"ininteligível","['i.nĩ.tɨ.li.ˈʒi.vɛɫ']",,,,,"No error"
"incompreensível","['ĩ.kõ.pɾjẽ.ˈsi.vɛɫ']",,,,,"No error"
"compreensível","['kõ.pɾjẽ.ˈsi.vɛɫ']",,,,,"No error"
"caseiro","['kɐ.ˈzɐj.ɾu']",,,,,"No error"
"organigrama","['ɔɾ.ɡɐ.ni.ˈɡɾɐ.mɐ']",,,,,"No error"
"ametista","['ɐ.mɨ.ˈtiʃ.tɐ']",,,,,"No error"
"perfume","['pɨɾ.ˈfu.mɨ']",,,,,"No error"
"briol","['bɾi.ˈɔɫ']",,,,,"No error"
"cismar","['siʒ.ˈmaɾ']",,,,,"No error"
"poder","['pu.ˈdeɾ']",,,,,"No error"
"a","['ɐ']",,,,,"No error"
"atlântico","['ɐ.tlɐ̃.ˈti.ku']",,,,,"No error"
"cuba","['ˈku.bɐ']",,,,,"No error"
"damasco","['dɐ.ˈmaʃ.ku']",,,,,"No error"
"fortaleza","['fuɾ.tɐ.ˈle.zɐ']",,,,,"No error"
"madeira","['mɐ.ˈdɐj.ɾɐ']",,,,,"No error"
"porto","['ˈpoɾ.tu']",,,,,"No error"
"rossio","['Ru.ˈsi.u']",,,,,"No error"
"tal","['ˈtaɫ']",,,,,"No error"
"efígie","['i.ˈfi.ʒji']",,,,,"No error"
"eleitorado","['i.lɐj.tu.ˈɾa.du']",,,,,"No error"
"empírico","['ẽ.ˈpi.ɾi.ku']",,,,,"No error"
"térbio","['ˈtɛɾ.bju']",,,,,"No error"
"conjunção","['kõ.ʒũ.ˈsɐ̃w̃']",,,,,"No error"
"nome","['ˈno.mɨ']",,,,,"No error"
"cidadania","['si.dɐ.dɐ.ˈni.ɐ']",,,,,"No error"
"frutuoso","['fɾu.ˈtwo.zu']",,,,,"No error"
"período",,"['pɨ.ɾi.u.ðu']","false diphthong","syllable division",,"Error"
"relacionamento","['Rɨ.lɐ.sju.nɐ.ˈmẽ.tu']",,,,,"No error"
"produto","['pɾu.ˈdu.tu']",,,,,"No error"
"explodir","['ɐjʃ.plu.ˈdiɾ']",,,,,"No error"
"contribuinte","['kõ.tɾi.ˈbwĩ.tɨ']",,,,,"No error"
"botar","['bu.ˈtaɾ']",,,,,"No error"
"domicílio","['du.mi.ˈsi.lju']",,,,,"No error"
"carteiro","['kɐɾ.ˈtɐj.ɾu']",,,,,"No error"
"engenharia","['ẽ.ʒɨ.ɲɐ.ˈɾi.ɐ']",,,,,"No error"
"acesso","['ɐ.ˈsɛ.su']",,,,,"No error"
"adjudicar","['ɐ.dʒu.di.ˈkaɾ']",,,,,"No error"
"direita","['di.ˈɾɐj.tɐ']",,,,,"No error"
"espólio","['iʃ.ˈpɔ.lju']",,,,,"No error"
"herança","['e.ˈɾɐ̃.sɐ']",,,,,"No error"
"menstruação","['mẽʃ.tɾwɐ.ˈsɐ̃w̃']",,,,,"No error"
"legislação","['lɨ.ʒiʒ.lɐ.ˈsɐ̃w̃']",,,,,"No error"
"levantar","['lɨ.vɐ̃.ˈtaɾ']",,,,,"No error"
"suspender","['suʃ.pẽ.ˈdeɾ']",,,,,"No error"
"chegar","['ʃɨ.ˈɡaɾ']",,,,,"No error"
"semear",,"['sɨ.ˈmi.aɾ']","false diphthong",,,"Error"
"pesquisa","['pɨʃ.ˈki.zɐ']",,,,,"No error"
"vitória","['vi.ˈtɔ.ɾjɐ']",,,,,"No error"
"aprender","['ɐ.pɾẽ.ˈdeɾ']",,,,,"No error"
"ensinar","['ẽ.si.ˈnaɾ']",,,,,"No error"
"escrever","['iʃ.kɾɨ.ˈveɾ']",,,,,"No error"
"escovar","['iʃ.ku.ˈvaɾ']",,,,,"No error"
"salvar","['saɫ.ˈvaɾ']",,,,,"No error"
"cercar","['sɨɾ.ˈkaɾ']",,,,,"No error"
"abraçar","['ɐ.bɾɐ.ˈsaɾ']",,,,,"No error"
"maio","['ˈmaj.u']",,,,,"No error"
"abril","['ɐ.ˈbɾiɫ']",,,,,"No error"
"outubro","['ow.ˈtu.bɾu']",,,,,"No error"
"agosto","['ɐ.ˈɡoʃ.tu']",,,,,"No error"
"dezembro","['dɨ.ˈzẽ.bɾu']",,,,,"No error"
"julho","['ˈʒu.ʎu']",,,,,"No error"
"junho","['ˈʒu.ɲu']",,,,,"No error"
"partir","['pɐɾ.ˈtiɾ']",,,,,"No error"
"norma","['ˈnɔɾ.mɐ']",,,,,"No error"
"mandato","['mɐ̃.ˈda.tu']",,,,,"No error"
"matricida","['mɐ.tɾi.ˈsi.dɐ']",,,,,"No error"
"resina","['Rɨ.ˈzi.nɐ']",,,,,"No error"
"papaia","['pɐ.ˈpaj.ɐ']",,,,,"No error"
"ameaçar","['ɐ.mjɐ.ˈsaɾ']",,,,,"No error"
"sacerdote","['sɐ.sɨɾ.ˈdɔ.tɨ']",,,,,"No error"
"amo","['ˈɐ.mu']",,,,,"No error"
"carvão","['kɐɾ.ˈvɐ̃w̃']",,,,,"No error"
"comercial",,"['ku.mɨɾ.ˈsi.aɫ']","false diphthong",,,"Error"
"inchar","['ĩ.ˈʃaɾ']",,,,,"No error"
"tender","['tẽ.ˈdeɾ']",,,,,"No error"
"suportar","['su.puɾ.ˈtaɾ']",,,,,"No error"
"arder","['ɐɾ.ˈdeɾ']",,,,,"No error"
"derreter","['dɨ.Rɨ.ˈteɾ']",,,,,"No error"
"acusar","['ɐ.ku.ˈzaɾ']",,,,,"No error"
"convencer","['kõ.vẽ.ˈseɾ']",,,,,"No error"
"vestuário","['vɨʃ.ˈtwa.ɾju']",,,,,"No error"
"culpar","['kuɫ.ˈpaɾ']",,,,,"No error"
"bater","['bɐ.ˈteɾ']",,,,,"No error"
"ressoar","['Rɨ.ˈswaɾ']",,,,,"No error"
"soar","['ˈswaɾ']",,,,,"No error"
"vagem","['ˈva.ʒɐ̃j̃']",,,,,"No error"
"trair","['tɾɐ.ˈiɾ']",,,,,"No error"
"transformar","['tɾɐ̃ʃ.fuɾ.ˈmaɾ']",,,,,"No error"
"etéreo","['i.ˈtɛ.ɾju']",,,,,"No error"
"subtil","['sub.ˈtiɫ']",,,,,"No error"
"tato","['ˈta.tu']",,,,,"No error"
"afeto","['ɐ.ˈfɛ.tu']",,,,,"No error"
"vasto","['ˈvaʃ.tu']",,,,,"No error"
"aspergir","['ɐʃ.pɨɾ.ˈʒiɾ']",,,,,"No error"
"lançar","['lɐ̃.ˈsaɾ']",,,,,"No error"
"deitar","['dɐj.ˈtaɾ']",,,,,"No error"
"batizar","['ba.ti.ˈzaɾ']",,,,,"No error"
"acalmar","['ɐ.kaɫ.ˈmaɾ']",,,,,"No error"
"entreter","['ẽ.tɾɨ.ˈteɾ']",,,,,"No error"
"salpicar","['saɫ.pi.ˈkaɾ']",,,,,"No error"
"gozar","['ɡu.ˈzaɾ']",,,,,"No error"
"grupo","['ˈɡɾu.pu']",,,,,"No error"
"sigla","['ˈsi.ɡlɐ']",,,,,"No error"
"audição","['aw.di.ˈsɐ̃w̃']",,,,,"No error"
"fruto","['ˈfɾu.tu']",,,,,"No error"
"finanças","['fi.ˈnɐ̃.sɐʃ']",,,,,"No error"
"preço","['ˈpɾe.su']",,,,,"No error"
"bojudo","['bu.ˈʒu.du']",,,,,"No error"
"bojo","['ˈbo.ʒu']",,,,,"No error"
"redor","['Rɨ.ˈdɔɾ']",,,,,"No error"
"germinação","['ʒɨɾ.mi.nɐ.ˈsɐ̃w̃']",,,,,"No error"
"freguesia","['fɾɛ.ɡɨ.ˈzi.ɐ']",,,,,"No error"
"engenho","['ẽ.ˈʒɐj.ɲu']",,,,,"No error"
"impugnação","['ĩ.pu.ɡnɐ.ˈsɐ̃w̃']",,,,,"No error"
"mora","['ˈmɔ.ɾɐ']",,,,,"No error"
"bulir","['bu.ˈliɾ']",,,,,"No error"
"desejar","['dɨ.zɨ.ˈʒaɾ']",,,,,"No error"
"buzinar","['bu.zi.ˈnaɾ']",,,,,"No error"
"voar","['ˈvwaɾ']",,,,,"No error"
"saltar","['saɫ.ˈtaɾ']",,,,,"No error"
"evaporar","['i.vɐ.pu.ˈɾaɾ']",,,,,"No error"
"volatilizar","['vu.lɐ.ti.li.ˈzaɾ']",,,,,"No error"
"dançar","['dɐ̃.ˈsaɾ']",,,,,"No error"
"bailar","['baj.ˈlaɾ']",,,,,"No error"
"saciar",,"['sɐ.ˈsi.aɾ']","false diphthong",,,"Error"
"satisfazer","['sɐ.tiʃ.fɐ.ˈzeɾ']",,,,,"No error"
"vazar","['vɐ.ˈzaɾ']",,,,,"No error"
"mugir","['mu.ˈʒiɾ']",,,,,"No error"
"duvidar","['du.vi.ˈdaɾ']",,,,,"No error"
"defender","['dɨ.fẽ.ˈdeɾ']",,,,,"No error"
"evitar","['i.vi.ˈtaɾ']",,,,,"No error"
"desempanar","['dɨ.zẽ.pɐ.ˈnaɾ']",,,,,"No error"
"trepar","['tɾɨ.ˈpaɾ']",,,,,"No error"
"gaguejar","['ɡɐ.ɡɨ.ˈʒaɾ']",,,,,"No error"
"garantir","['ɡɐ.ɾɐ̃.ˈtiɾ']",,,,,"No error"
"assegurar","['ɐ.sɨ.ɡu.ˈɾaɾ']",,,,,"No error"
"agradecer","['ɐ.ɡɾɐ.dɨ.ˈseɾ']",,,,,"No error"
"recompensar","['Rɨ.kõ.pẽ.ˈsaɾ']",,,,,"No error"
"gargarejar","['ɡɐɾ.ɡɐ.ɾɨ.ˈʒaɾ']",,,,,"No error"
"gatinhar","['ɡɐ.ti.ˈɲaɾ']",,,,,"No error"
"cafuné","['kɐ.fu.ˈnɛ']",,,,,"No error"
"combater","['kõ.bɐ.ˈteɾ']",,,,,"No error"
"guerrear",,"['ɡɨ.ˈRi.aɾ']","false diphthong",,,"Error"
"individual","['ĩ.di.vi.ˈdwaɫ']",,,,,"No error"
"furtar","['fuɾ.ˈtaɾ']",,,,,"No error"
"abstenção","['ɐb.ʃtẽ.ˈsɐ̃w̃']",,,,,"No error"
"virtude","['viɾ.ˈtu.dɨ']",,,,,"No error"
"concluir","['kõ.ˈklwiɾ']",,,,,"No error"
"sanção","['sɐ̃.ˈsɐ̃w̃']",,,,,"No error"
"revestir","['Rɨ.vɨʃ.ˈtiɾ']",,,,,"No error"
"agarrar","['ɐ.ɡɐ.ˈRaɾ']",,,,,"No error"
"prender","['pɾẽ.ˈdeɾ']",,,,,"No error"
"ofender","['ɔ.fẽ.ˈdeɾ']",,,,,"No error"
